ID,Name,Category,Rating,Open,Close,VisitTime,Description
T01,Angkor Wat,History,5.0,05:00,17:30,3,"Angkor Wat is the largest religious monument in the world and Cambodia's most famous temple. Built in the early 12th century by King Suryavarman II, it was first dedicated to Vishnu before becoming a Buddhist temple. It is a UNESCO World Heritage Site, famous for its five towers, detailed carvings, sunrise views, and Khmer architecture. It is the national symbol of Cambodia and a must-visit destination for history, culture, architecture, and photography."
T02,Phnom Bakheng,Sunset,5.0,05:00,18:00,2,"Phnom Bakheng is a hilltop temple built in the late 9th century by King Yasovarman I. It is one of the best places to watch the sunset over Angkor Wat. Visitors climb the hill to enjoy panoramic views of the forest and ancient temples, making it a favorite destination for sightseeing and photography."
T03,South Gate,Landmark,4.8,05:00,18:00,0.5,The South Gate is the main entrance to Angkor Thom. It is famous for its giant stone faces and the bridge lined with statues of gods and demons holding a naga. The gate welcomes visitors into the ancient city and is one of the most photographed landmarks in Angkor.
T04,Bayon,History,4.8,06:30,17:30,1.5,"Bayon is known for its many smiling stone faces and detailed bas-reliefs that show scenes of Khmer daily life, battles, and religious ceremonies. Built by King Jayavarman VII, it stands in the center of Angkor Thom and is one of Cambodia's most iconic temples."
T05,Baphuon,History,4.7,06:30,17:30,1,"Baphuon is an impressive temple mountain built during the 11th century. It was first dedicated to Shiva before becoming a Buddhist temple. Visitors enjoy its elevated walkway, steep staircases, and beautiful views from the upper terrace after its successful restoration."
T06,Terrace of the Elephants,History,4.6,06:30,17:30,0.5,"The Terrace of the Elephants served as the royal viewing platform for ceremonies and military parades. Its walls are decorated with carvings of elephants, lions, and mythical creatures. It is an important historical attraction inside Angkor Thom."
T07,Thommanon,History,4.5,06:30,17:30,1,"Thommanon is a small but beautifully preserved Hindu temple from the 12th century. It is admired for its elegant carvings, balanced design, and peaceful atmosphere. Many visitors stop here to appreciate its well-preserved Khmer architecture."
T08,Chau Say Tevoda,History,4.5,06:30,17:30,1,"Chau Say Tevoda is located opposite Thommanon and was built during the reign of King Suryavarman II. It features restored towers, detailed carvings, and graceful Khmer architecture, making it a quiet and enjoyable place to explore."
T09,Ta Prohm,Nature,4.8,06:30,17:30,1.5,"Ta Prohm is famous for the giant tree roots growing over ancient stone walls. Built by King Jayavarman VII as a monastery and university, it became internationally known after appearing in the Tomb Raider movie. It is a favorite destination for photography and nature lovers."
T10,Sras Srang,Nature,4.6,05:00,18:00,0.5,"Sras Srang is a large royal reservoir often called the Royal Bath. It is one of the best places in Angkor to enjoy sunrise over the water. Visitors come for its peaceful scenery, historical importance, and relaxing atmosphere."
T11,Preah Khan,History,4.9,06:30,17:30,1.5,"Preah Khan is one of the largest temple complexes in Angkor. Built by King Jayavarman VII, it served as a monastery, university, and administrative center. Visitors can explore long corridors, beautiful carvings, and ancient trees surrounding the temple."
T12,Neak Pean,Nature,4.7,06:30,17:30,1,Neak Pean is a small island temple surrounded by a large reservoir. It was designed as a place of healing and spiritual cleansing. Visitors walk along a wooden bridge to enjoy its peaceful environment and unique design.
T13,Pre Rup,Sunset,4.8,05:00,18:00,1,"Pre Rup is a red-brick temple mountain famous for its beautiful sunset views. Built in the 10th century, it offers panoramic scenery from the upper levels and is popular with photographers and visitors seeking a peaceful evening experience."
T14,Kravan,History,4.6,06:30,17:30,0.5,Kravan is a small Hindu temple built from red bricks in the 10th century. It is famous for its unique brick carvings dedicated to Vishnu and its simple yet elegant architectural style. It offers visitors a quiet and relaxing historical experience.
